iter	Passed	Remaining
0	1008	805568
1	1808	721699
2	2654	705217
3	3432	683163
4	4200	667879
5	5017	664006
6	5889	667153
7	6619	655291
8	7405	650854
9	8066	637273
10	8764	628638
11	9511	624605
12	10203	617723
13	10860	609746
14	11703	612489
15	12410	608097
16	13176	606911
17	14004	608412
18	14727	605377
19	15502	604593
20	16212	601422
21	16847	595792
22	17596	594460
23	18329	592666
24	19015	589477
25	19799	589419
26	20574	589050
27	21225	585222
28	21970	584116
29	22719	583126
30	23429	581208
31	24163	579922
32	24844	577442
33	25664	578214
34	26399	577015
35	27111	575369
36	27789	573072
37	28490	571309
38	29180	569387
39	29846	567092
40	30624	566927
41	31355	565889
42	32059	564397
43	32718	562163
44	33386	560148
45	34183	560319
46	34991	560612
47	35757	560197
48	36495	559347
49	37295	559438
50	37996	558032
51	38717	556938
52	39448	555998
53	40299	556732
54	41174	557723
55	41953	557387
56	42851	558575
57	43476	556194
58	44155	554562
59	44875	553465
60	45719	553882
61	46344	551649
62	47118	551206
63	47839	550158
64	48454	547904
65	49098	546037
66	49990	546909
67	50890	547818
68	51702	547750
69	52495	547452
70	53208	546324
71	54057	546576
72	54877	546524
73	55606	545548
74	56353	544747
75	57188	544797
76	58173	546224
77	58917	545362
78	59564	543623
79	60248	542239
80	61022	541667
81	61718	540410
82	62505	539960
83	63388	540310
84	64257	540520
85	65065	540192
86	65979	540732
87	66802	540494
88	67486	539134
89	68254	538451
90	68934	537085
91	69700	536392
92	70445	535535
93	71262	535224
94	71975	534133
95	72714	533242
96	73425	532144
97	74121	530951
98	74872	530155
99	75542	528800
100	76224	527536
101	76871	526044
102	77778	526323
103	78466	525121
104	79158	523951
105	79837	522712
106	80564	521787
107	81424	521720
108	82205	521137
109	82921	520141
110	83696	519521
111	84457	518808
112	85131	517566
113	85864	516693
114	86644	516098
115	87400	515363
116	88030	513886
117	88760	513002
118	89511	512245
119	90212	511206
120	90873	509942
121	91432	508127
122	92224	507609
123	93040	507221
124	93700	505981
125	94556	505803
126	95246	504732
127	95935	503661
128	96672	502849
129	97389	501928
130	98298	501996
131	98970	500852
132	99850	500752
133	100582	499909
134	101275	498873
135	102008	498043
136	102499	496039
137	103209	495106
138	103717	493216
139	104437	492346
140	105133	491369
141	106006	491214
142	106841	490872
143	107551	489956
144	108165	488609
145	108842	487556
146	109496	486402
147	110387	486300
148	111104	485428
149	111761	484301
150	112518	483607
151	113460	483701
152	114315	483411
153	115038	482564
154	115693	481434
155	116393	480497
156	117189	479953
157	117984	479406
158	118930	479462
159	119725	478902
160	120569	478533
161	121238	477470
162	122268	477822
163	123007	477030
164	123751	476256
165	124406	475142
166	125123	474270
167	125819	473322
168	126523	472402
169	127272	471656
170	128152	471389
171	129329	472203
172	130087	471474
173	130901	470944
174	131704	470374
175	132567	470012
176	133333	469304
177	134015	468302
178	134939	468141
179	135814	467805
180	136700	467499
181	137420	466625
182	138055	465465
183	138708	464372
184	139400	463413
185	140132	462588
186	140953	462057
187	141762	461483
188	142445	460498
189	143177	459676
190	143917	458877
191	144728	458305
192	145500	457609
193	146208	456711
194	146952	455930
195	147844	455603
